콜라보,타이틀,낙찰가격,출시년도,재질,크기,박스크기,에디션,컨디션,정보 디테일
BE@RBRICK X Hiroshi Fujiwara,BWWT HF 400% (Brown),$400.00,2004,"Cast resin, with polyester",11 x 5-1/2 x 3-1/2 inches (27.9 x 14 x 8.9 cm),,,"Condition Report*:
Possible small losses of fur around neck and shoulders. Comes in original box. 12-1/2 x 6-3/4 x 4-3/4 inches.","BE@RBRICK X Hiroshi Fujiwara
BWWT HF 400% (Brown), 2004
Cast resin, with polyester
11 x 5-1/2 x 3-1/2 inches (27.9 x 14 x 8.9 cm)
Stamped on the underside of feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X The Simpsons,Krusty the Clown 1000%,$400.00,2016,Painted cast resin,28 x 14 x 9 inches (71.1 x 35.6 x 22.9 cm),,,"Condition Report*:
One scuff mark to the back of the head; mild surface soil. Comes in original box. 32 x 16 x 12 inches.","BE@RBRICK X The Simpsons
Krusty the Clown 1000%, 2016
Painted cast resin
28 x 14 x 9 inches (71.1 x 35.6 x 22.9 cm)
Ed. 197
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X The Simpsons,Bartman 1000%,$400.00,2017,Painted cast resin,28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm),,,"Condition Report*:
Surface soil; scratches to the back of the head. Comes in original box.","BE@RBRICK X The Simpsons
Bartman 1000%, 2017
Painted cast resin
28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm)
Ed. 217
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Levi's,501 400%,$375.00,2007,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Mild scuffs and surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Levi's
501 400%, 2007
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Milo Camo 400%,$375.00,2007,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6 x 4 inches.
Unframed","BE@RBRICK X BAPE
BAPE Play Milo Camo 400%, 2007
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Daft Punk,Random Access Memories 200%,$375.00,2015,Painted metal,5-1/2 x 2-5/8 x 2 inches (14.0 x 6.7 x 5.1 cm) (each),,,"Condition Report*:
Very mild fingerprint smudges. Comes in original box. 7x8x3 inches.
Unframed","BE@RBRICK X Daft Punk
Random Access Memories 200%, 2015
Painted metal
5-1/2 x 2-5/8 x 2 inches (14.0 x 6.7 x 5.1 cm) (each)
Stamped with artist's name and copyright on the reverse
Produced by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,1st Camo Shark 400% (Black),$375.00,2016,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X BAPE
1st Camo Shark 400% (Black), 2016
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the underside of the feet
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,NADSAT Pez Dispenser,$375.00,2003,Painted cast resin,5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm),,,"Condition Report*:
Framed 10-1/4 x 7 inches No visible condition issues","KAWS X BE@RBRICK
NADSAT Pez Dispenser, 2003
Painted cast resin
5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm)
Stamped on the underside
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,NADSAT Pez Dispenser,$375.00,2003,Painted cast resin,5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm),,,"Condition Report*:
No apparent condition issues. Comes in original packaging.","KAWS X BE@RBRICK
NADSAT Pez Dispenser, 2003
Painted cast resin
5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm)
Stamped on the underside
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Milo Camo 400%,$375.00,2007,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Mild scattered scuffs. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
BAPE Play Milo Camo 400%, 2007
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Camo 400% (Grey),$375.00,2008,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Heavy surface soiling; mild scattered scratches. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
BAPE Play Camo 400% (Grey), 2008
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK,Tokyo Skytree Town 400% (Blue),$375.00,2015,Painted cast resin,10-3/4 x 5-1/4 x 3-3/4 inches (27.3 x 13.3 x 9.5 cm),,,"Condition Report*:
Adhesive residue to the back of the legs; a few scattered fingerprint smudges; a few mild scattered scratches. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.","BE@RBRICK
Tokyo Skytree Town 400% (Blue), 2015
Painted cast resin
10-3/4 x 5-1/4 x 3-3/4 inches (27.3 x 13.3 x 9.5 cm)
Stamped on the reverse and to the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Fragment Design,"Freemasonry, 400% and 100% (White) (two works)",$375.00,2017,Painted cast vinyl,11-3/4 x 8 inches (29.8 x 20.3 cm) (box),,,"Condition Report*:
Come in original box. No apparent condition issues.","BE@RBRICK X Fragment Design
Freemasonry, 400% and 100% (White) (two works), 2017
Painted cast vinyl
11-3/4 x 8 inches (29.8 x 20.3 cm) (box)
Produced and manufactured by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,1st Camo Shark 400% (Blue),$350.00,2015,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Mild surface soil. Comes in original box. 11-1/2 x 6 x 4 inches.
Unframed","BE@RBRICK X BAPE
1st Camo Shark 400% (Blue), 2015
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,"BAPE Play Camo 400% (Black/Grey/White), circa",$350.00,2005,Painted cast vinyl,11 x 5-1/4 x 3-1/2 inches (27.9 x 13.3 x 8.9 cm),,,"Condition Report*:
surface soil; adhesive residue to underside of feet; scratches and stains to back of the head; scattered brown stains; spots of discoloration; mild scattered scratches. Does not come with original box.","BE@RBRICK X BAPE
BAPE Play Camo 400% (Black/Grey/White), circa 2005
Painted cast vinyl
11 x 5-1/4 x 3-1/2 inches (27.9 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Camo 400% (Blue and White),$350.00,2008,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Surface soil; mild scattered scratches. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
BAPE Play Camo 400% (Blue and White), 2008
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,Camo Shark Hoodie 400% (Red),$350.00,2015,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Mild scratches to the back. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches","BE@RBRICK X BAPE
Camo Shark Hoodie 400% (Red), 2015
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Staple Design,10th Anniversary 400%,$350.00,2007,Painted cast resin,10-3/4 x 4-1/2 x 3-1/2 inches (27.3 x 11.4 x 8.9 cm),,,"Condition Report*:
Adhesive residue bottom of right foot; scattered fingerprint smudges; scuffs to bottom of feet. Comes in original box. 12 x 8 x 4-3/4 inches.","BE@RBRICK X Staple Design
10th Anniversary 400%, 2007
Painted cast resin
10-3/4 x 4-1/2 x 3-1/2 inches (27.3 x 11.4 x 8.9 cm)
Stamped on the underside of feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Tim Biskup,Alpha Beast Calli 400%,$350.00,2007,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the bottom of the feet; scuffs to the back of the head; mild scattered scratches; mild surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X Tim Biskup
Alpha Beast Calli 400%, 2007
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the bottom of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X mastermind JAPAN,Black and Gold 400%,$350.00,2013,Painted cast resin,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Mild scuffs and fingerprint smudges. Comes in originl box. 12 x 8 x 5 inches.","BE@RBRICK X mastermind JAPAN
Black and Gold 400%, 2013
Painted cast resin
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X mastermind JAPAN,Black and Silver 400%,$350.00,2013,Painted cast resin,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the underside of the feet; mild scattered scratches and scuffs. Comes in original box. 12x8x5 inches.","BE@RBRICK X mastermind JAPAN
Black and Silver 400%, 2013
Painted cast resin
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Project 1/6,Centurion 400% (Red),$350.00,2014,Painted cast resin,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.","BE@RBRICK X Project 1/6
Centurion 400% (Red), 2014
Painted cast resin
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm)
Stamped on the reverse and underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK,Summiya 400%,$325.00,2002,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
A few small scuffs to the back of the head; dent to the back of the right leg. Comes in original box.","BE@RBRICK
Summiya 400%, 2002
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Project 1/6,Centurion 400% (Platinum),$325.00,2014,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X Project 1/6
Centurion 400% (Platinum), 2014
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,Shark Hoodie 200%,$325.00,2016,Painted metal,5-1/2 x 2-1/2 x 1-1/2 inches (14 x 6.4 x 3.8 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box 7 x 4 x 3 inches.","BE@RBRICK X BAPE
Shark Hoodie 200%, 2016
Painted metal
5-1/2 x 2-1/2 x 1-1/2 inches (14 x 6.4 x 3.8 cm)
Stamped to the reverse and the underside of the feet
Published by Medicom Toy and Ban Dai, Tokyo"
BE@RBRICK X BAIT,Gold Bar 400%,$325.00,2017,Chromed cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Comes in original box. No apparent condition issues. 12x9x4-1/2 inches.
Unframed","BE@RBRICK X BAIT
Gold Bar 400%, 2017
Chromed cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the reverse and the underside of the feet
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 100% (Grey),$325.00,2002,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy),,,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK
Companion 100% (Grey), 2002
Painted cast vinyl
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy)
Stamped on the reverse 'B@-040 / ©KAWS..02 / ©MEDICOM TOY 2002'
Produced by Medicom Toy, Tokyo

Comes wrapped in plastic, in blue BE@RBRICK box."
BE@RBRICK X Keith Haring Foundation,Keith Haring 100% and 400% (two works),$325.00,2017,"Painted cast vinyl, each",11-1/4 x 5-1/4 inches (28.6 x 13.3 cm) (400%),,,"Condition Report*:
No apparent condition issues. Comes in original box.","BE@RBRICK X Keith Haring Foundation
Keith Haring 100% and 400% (two works), 2017
Painted cast vinyl, each
11-1/4 x 5-1/4 inches (28.6 x 13.3 cm) (400%)
Each stamped on the underside of the feet or the reverse
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,NADSAT Pez Dispenser,$325.00,2003,Painted cast resin,5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm),,,"Condition Report*:
No apparent condition issues. Comes in original packaging.","KAWS X BE@RBRICK
NADSAT Pez Dispenser, 2003
Painted cast resin
5 x 1-1/2 x 1 inches (12.7 x 3.8 x 2.5 cm)
Stamped on the underside
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,1st Camo Shark 400% (Green),$325.00,2016,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
1st Camo Shark 400% (Green), 2016
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Lionsgate,Saw Doll 400%,$325.00,2006,Painted cast resin,10-1/2 x 5 x 2-1/2 inches (26.7 x 12.7 x 6.4 cm),,Edition of 666,"Condition Report*:
Surface soiling; a few hairline scratches; comes with the original box.","BE@RBRICK X Lionsgate
Saw Doll 400%, 2006
Painted cast resin
10-1/2 x 5 x 2-1/2 inches (26.7 x 12.7 x 6.4 cm)
Edition of 666
Published by Medicom Toy, Tokyo"
BE@RBRICK X Andy Warhol Foundation,60's Style 400%,$325.00,2015,Painted cast vinyl,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the underside of the feet; mild fingerprint smudges; mild scratches to the reverse and to bacl of legs. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X Andy Warhol Foundation
60's Style 400%, 2015
Painted cast vinyl
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm)
Stamped on the reverse and to the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK (20th century),Horror Series 4,$325.00,2002,Painted cast vinyl,10-1/2 x 4-1/2 x 3-1/4 inches (26.7 x 11.4 x 8.3 cm),,,"Condition Report*:
Surface soil; brown stain to the top of the left ear; a few scattered black scuffs to the bottom of the feet.This lot glows in the dark.","BE@RBRICK (20th century)
Horror Series 4, 2002
Painted cast vinyl
10-1/2 x 4-1/2 x 3-1/4 inches (26.7 x 11.4 x 8.3 cm)
Published by Medicom Toy, Tokyo"
BE@RBRICK X DC Comics,"Superman 400%, from Superman Returns",$300.00,2006,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened packaging. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X DC Comics
Superman 400%, from Superman Returns, 2006
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Marvel,Deadpoo lX-Force 400%,$300.00,2014,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Comes in original unopened packaging. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Marvel
Deadpoo lX-Force 400%, 2014
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 100% (Grey),$300.00,2010,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy),2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box),,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK
Dissected Companion 100% (Grey), 2010
Painted cast vinyl
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy)
2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box)
Stamped on the underside of the feet 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes wrapped in bubble wrap, in grey box with silver foil lettering."
BE@RBRICK X Care Bear,Cheer Bear 1000%,$300.00,2017,Painted cast resin,28 x 13-1/2 inches (71.1 x 34.3 cm),,,"Condition Report*:
Comes in original box.","BE@RBRICK X Care Bear
Cheer Bear 1000%, 2017
Painted cast resin
28 x 13-1/2 inches (71.1 x 34.3 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK,Tokyo Skytree Town 400% (Gold),$300.00,2015,Painted cast resin,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the back of the legs; scattered fingerprint smudges; mild scattered scratches. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK
Tokyo Skytree Town 400% (Gold), 2015
Painted cast resin
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Manekinkeko,Gold 400%,$300.00,2013,Painted cast resin,10-1/2 x 5 x 2-1/2 inches (26.7 x 12.7 x 6.4 cm),,,"Condition Report*:
Surface soiling; a few hairling scratches; comes in the original box.","BE@RBRICK X Manekinkeko
Gold 400%, 2013
Painted cast resin
10-1/2 x 5 x 2-1/2 inches (26.7 x 12.7 x 6.4 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Camo 400% (Blue and White),$275.00,2008,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Mild scattered scratches; mild surface soil. Comes in original box. 11-1/2 x 6 x 4 inches.
Unframed","BE@RBRICK X BAPE
BAPE Play Camo 400% (Blue and White), 2008
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X The Simpsons,Krusty the Clown 400%,$275.00,2016,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X The Simpsons
Krusty the Clown 400%, 2016
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the reverse and underside of feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK,Tokyo Station Snow Version 400%,$275.00,2017,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original packaging. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK
Tokyo Station Snow Version 400%, 2017
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 100% (Blue/Grey),$275.00,2006,Painted cast vinyl,2-3/4 x 1-1/4 x 0-3/4 inches (7 x 3.2 x 1.9 cm) (toy),2-3/4 x 1-5-/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box),,"Condition Report*:
Mild scratches to the reverse.","KAWS X BE@RBRICK
Companion 100% (Blue/Grey), 2006
Painted cast vinyl
2-3/4 x 1-1/4 x 0-3/4 inches (7 x 3.2 x 1.9 cm) (toy)
2-3/4 x 1-5-/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box)
Stamped on the reverse 'OriginaFake / © KAWS..06'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in black box with black lettering. No interior packaging."
KAWS X BE@RBRICK,Dissected Companion 100%,$275.00,2008,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy),2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box),,"Condition Report*:
Mild surface soil.","KAWS X BE@RBRICK
Dissected Companion 100%, 2008
Painted cast vinyl
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy)
2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm) (box)
Stamped on the underside of the feet 'KAWS..08 / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes wrapped in bubble wrap."
BE@RBRICK X Jackson Pollock Studio,Jackson Pollock 400%,$275.00,2016,Painted cast resin,11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/2 x 4-1/2 inches","BE@RBRICK X Jackson Pollock Studio
Jackson Pollock 400%, 2016
Painted cast resin
11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm)
Stamped to the bottom of the feet and back of the leg
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 100%,$275.00,2008,Painted cast vinyl,2-3/4 x 1-1/2 x 1 inches (7.0 x 3.8 x 2.5 cm),,Edition of 500,"Condition Report*:
Small paint loss to the reverse; two small dent to inside of legs. Comes with original box.","KAWS X BE@RBRICK
Dissected Companion 100%, 2008
Painted cast vinyl
2-3/4 x 1-1/2 x 1 inches (7.0 x 3.8 x 2.5 cm)
Edition of 500
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK,Tokyo Tower 55th Anniversary Magic Time 400%,$275.00,2015,Painted cast resin,10-1/2 x 5-1/4 x 3-3/4 inches (26.7 x 13.3 x 9.5 cm),,,"Condition Report*:
Adhesive residue to the back of the legs; scattered fingerprints; scattered scratches to the back of the legs. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.","BE@RBRICK
Tokyo Tower 55th Anniversary Magic Time 400%, 2015
Painted cast resin
10-1/2 x 5-1/4 x 3-3/4 inches (26.7 x 13.3 x 9.5 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Pushead,Silver Anniversary 400%,$275.00,2005,Painted cast resin,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue on the bottom of the feet; scattered fingerprint smudges; mild scattered scratches. Comes in original box. 12 x 8 x 4-3/4 inches.","BE@RBRICK X Pushead
Silver Anniversary 400%, 2005
Painted cast resin
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X G1950,Twelve Bar 400%,$275.00,2007,Painted cast resin,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Discoloration to the chest and right hand; adhesive residue to the bottom of the feet; scattered scratches and surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X G1950
Twelve Bar 400%, 2007
Painted cast resin
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Futura,Purple Marble 400% and 100% (set of two),$250.00,2017,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 12 x 8 x 4-3/4 inches.
Unframed","BE@RBRICK X Futura
Purple Marble 400% and 100% (set of two), 2017
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Each stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Stussy,World Wide Tour Sapporo 400%,$250.00,2004,Painted cast vinyl,10-3/4 x 5-1/4 x 2-1/2 inches (27.3 x 13.3 x 6.4 cm),,,"Condition Report*:
Surface grime; one pinhead sized accretion to the top of the front of the torso; contained in the original box.","BE@RBRICK X Stussy
World Wide Tour Sapporo 400%, 2004
Painted cast vinyl
10-3/4 x 5-1/4 x 2-1/2 inches (27.3 x 13.3 x 6.4 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,1st Camo Shark 400% (Blue),$239.00,2016,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X BAPE
1st Camo Shark 400% (Blue), 2016
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X ACU,Fortune Gold 400% and 100% (two works),$239.00,2018,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 5 x 12 x 8 inches.
Unframed","BE@RBRICK X ACU
Fortune Gold 400% and 100% (two works), 2018
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Each stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
